shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED,39.29342,-76.64553,60,6.929107161705023
RED,39.29354,-76.63985,61,7.23369085927491
RED,39.2938023,-76.6325182,62,7.6271205265817095
RED,39.2938006,-76.6321031,63,7.6493717879311
RED,39.2937015,-76.63166,64,7.674087948962817
RED,39.2934426,-76.6313591,65,7.698153468379741
RED,39.2884263,-76.6286205,66,8.074056410395007
RED,39.2881387,-76.6284657,67,8.095562161119185
RED,39.2878677,-76.6282197,68,8.11844046190407
RED,39.2876799,-76.6279332,69,8.138533652907324
RED,39.2875169,-76.62755,70,8.161952611180439
RED,39.2874018,-76.6270381,71,8.190520520724219
RED,39.2873198,-76.6264082,72,8.224759200355246
RED,39.2878311,-76.6113598,73,9.032253328524334
RED,39.287784,-76.6093519,74,9.139942675640935
RED,39.28791,-76.606487,75,9.293771084729599
RED,39.2878877,-76.6059085,76,9.324821639328816
RED,39.2878156,-76.6053407,77,9.35566416917451
RED,39.2876217,-76.6047766,78,9.388730980208194
RED,39.2872409,-76.6042394,79,9.427711096271063
RED,39.2869014,-76.6039751,80,9.455083992487681
RED,39.28509,-76.60288,81,9.593147729082954
RED,39.2848646,-76.6026986,82,9.611487696882362
RED,39.284664,-76.6024636,83,9.630201993790365
RED,39.2844612,-76.6021252,84,9.653111707405944
RED,39.2843247,-76.6017601,85,9.674832371970826
RED,39.2842553,-76.6014208,86,9.693642097055555
RED,39.2842108,-76.6009904,87,9.716919641033556
RED,39.28429,-76.5991,88,9.818413264606292
RED,39.2847914,-76.587719,89,10.429538522735497
RED,39.2847445,-76.5873244,90,10.450939294970867
RED,39.2846515,-76.5869685,91,10.471069111298894
RED,39.28122,-76.58142,92,10.851232414117442
RED,39.27859,-76.57692,93,11.153103167644073
RED,39.27712,-76.57009,94,11.533082142285695
RED,39.27706,-76.56945,95,11.567645483816294
RED,39.27716,-76.5669,96,11.704541640573938
RED,39.2771794,-76.565389,97,11.78556724867648
RED,39.2772599,-76.5632208,98,11.901951059411191
RED,39.2773423,-76.5628148,99,11.92444926920371
RED,39.2774724,-76.5625187,100,11.942686343669932
RED,39.2776003,-76.5623422,101,11.955624743507398
RED,39.2777385,-76.5622248,102,11.967048990579302
RED,39.2779357,-76.5620816,103,11.982669936724143
RED,39.2780426,-76.5620221,104,11.990704886530045
RED,39.2781827,-76.5619841,105,12.000582116034884
RED,39.281284,-76.5621887,106,12.214806773548574
RED,39.2816985,-76.5620495,107,12.244358975394531
RED,39.28327,-76.56129,108,12.360163905165393
RED,39.28425,-76.56123,109,12.427845873613254
RED,39.28987,-76.56163,110,12.816135433240033
RED,39.2899974,-76.5615862,111,12.825232391022018
RED,39.290133,-76.5615103,112,12.8354333488425
RED,39.2902656,-76.5613626,113,12.847531515016877
RED,39.2903483,-76.561172,114,12.859233788232814
RED,39.2904136,-76.5610049,115,12.869260349043728
RED,39.290454,-76.5607949,116,12.880857555929982
RED,39.2904383,-76.553413,117,13.276576079866885
RED,39.2905306,-76.5500919,118,13.454722006870716
RED,39.2905597,-76.5499365,119,13.463290896589266
RED,39.2906138,-76.5498134,120,13.470872091954279
RED,39.2907053,-76.549726,121,13.478733022104434
RED,39.2908176,-76.5496815,122,13.486839020497788
RED,39.2911942,-76.5497624,123,13.513178345256394
RED,39.2915485,-76.5499354,124,13.539320060093663
RED,39.2917815,-76.5501093,125,13.557901211667046
RED,39.2930598,-76.5515967,126,13.676785937033559
RED,39.293382,-76.5518196,127,13.702020962402417
RED,39.2937125,-76.551903,128,13.72525476976401
RED,39.2940342,-76.5519073,129,13.747448540996746
RED,39.29441,-76.5517481,130,13.774741631306238
RED,39.2963226,-76.5503778,131,13.925750469233042
RED,39.2964798,-76.5501052,132,13.943946888914667
RED,39.2965539,-76.5498113,133,13.960509052321301
RED,39.2965749,-76.5481592,134,14.049076317898002
RED,39.2965128,-76.5478483,135,14.066282931228175
RED,39.2962077,-76.5471612,136,14.10870264847979
