h_geocode,gravity
245100203001009,32364.605496584416
245100203001010,20203.779124295674
245100203001011,22436.264730098737
245100203001012,21346.547935936513
245100203001013,21236.899043995007
245100203001014,21510.170884662224
245100203001015,18749.560593352
245100203001016,16976.652258833492
245100203002000,38237.75930285406
245100203002001,34827.162176965096
245100203002002,39945.410184037435
245100203002003,42993.37484843521
245100203002004,43346.28749223874
245100203002006,42209.28500115477
245100203002010,33737.073252696646
245100203002011,33699.98958248581
245100203002012,38746.97968979482
245100203002013,27799.00155301115
245100203002014,25259.414522422445
245100203002015,27911.726273596527
245100203002017,33204.52205229526
245100203002018,40736.69601823248
245100203002019,38066.42707006074
245100203002020,22063.550193619947
245100203002022,20771.804868594823
245100203002023,21155.4794616711
245100203002024,21621.616393875112
245100203002025,17711.45129393205
245100203002026,17132.998385123297
245100203002028,18481.54320589387
245100203003000,18700.923213582722
245100203003001,18716.513238643514
245100203003002,20250.34473527113
245100203003003,21026.055786998404
245100203003004,27578.64624325169
245100203003005,17364.59321502321
245100203003006,12556.852388111667
245100203003008,9864.317356110383
245100203003009,14691.280924262566
245100203003011,19795.528492209436
245100301001000,24255.319282301487
245100301001003,31761.677343147505
245100301001004,30283.79895024657
245100301001005,30817.938591039176
245100301001006,30054.64527670449
245100301001007,24851.352797275307
245100301001008,28171.34923548677
245100301001009,28179.372788130826
245100301001010,26489.387937643416
245100301001012,25020.569043243402
245100301001013,21881.950635146233
245100301001014,24427.62187730454
245100301001015,25127.980772566603
245100301001016,27547.553679035565
245100301001017,26642.389919244964
245100301001019,26282.00207927246
245100301001020,26282.00207927246
245100301001021,30983.031508133827
245100301001022,30978.576542855182
245100301001023,35354.189980079434
245100301001024,32841.21221793459
245100301001026,42295.91490243416
245100301001027,42152.80547065318
245100301001028,37096.0189014016
245100301001029,37403.432110478774
245100301001030,32374.568716891456
245100301001031,29709.281805684965
245100301001032,31654.213107850606
245100301002000,30817.152478899196
245100301002001,29929.500273663434
245100301002002,33539.997766984045
245100301002003,34812.405522251094
245100301002004,34469.5725502219
245100301002005,31926.30324410113
245100301002008,30819.8307838424
245100301002010,29161.384267207577
245100301002011,27959.14192074688
245100301002013,28123.531663252914
245100301002014,29949.369440022834
245100301002016,31625.304440312946
245100301002017,26591.124984704988
245100301002018,28331.4324151712
245100301002019,28252.829249251583
245100301002020,30304.515809649947
245100301002023,31025.502487824728
245100301002024,27601.81011579158
245100301002027,26896.555373707284
245100302001000,36487.82103841983
245100302001005,54534.12715356548
245100302001006,37130.618188394576
245100302001007,36241.353140349864
245100302001009,28942.612056463226
245100302001010,37439.6333940093
245100302001011,38807.63193436751
245100302001012,45327.72826124786
245100302001013,45837.82576928636
245100302001014,53497.349328207514
245100302001015,54266.71828026852
245100302001017,41828.012382571
245100302001018,35477.30391367212
245100302001019,39208.43728420984
245100302001020,40495.84018428273
245100302001021,47010.54822874735
245100302001022,51000.445371490765
245100302001028,43134.72704358826
245100302001029,38972.89270276475
245100302001030,39947.3284202635
245100302001031,35953.70371344236
245100302001032,36330.40938660267
245100302001033,35678.65288699973
245100302001034,31290.324172250024
245100302001036,34247.810528808885
245100302001037,33582.687038797856
245100302002000,29926.229869130773
245100302002001,32257.570593444936
245100302002002,35989.62232604003
245100302002003,37978.68467315125
245100302002004,39321.86526009448
245100302002006,37526.16560854637
245100302002010,27279.7655290729
245100302002011,31005.32749952023
245100302002012,38828.90421980218
245100302002014,40603.37242804367
245100302002015,34928.35763747193
245100302002017,36935.76031429399
245100302002018,39025.21833210475
245100302002019,36810.28428100241
245100302002020,34830.08418901742
245100302002021,31562.74806964308
245100302002023,35485.322527522134
245100302002025,33788.30951514072
245100302002026,34877.61420025831
245100302002027,36662.011480760615
245100302002029,39807.22716816873
245100302002031,37990.94050079446
245100401001000,41278.684301650865
245100401001001,39227.09383862303
245100401001002,40586.165247486955
