h_geocode,gravity
245100203003002,11894.873147582892
245100203003003,12397.897158499112
245100203003004,16155.025747117445
245100203003005,10445.26314815011
245100203003006,9159.735732007877
245100203003008,7544.433517314486
245100203003009,7748.44754941883
245100203003011,10968.26251102528
245100301001000,23760.730912421473
245100301001003,30419.52955561996
245100301001004,24934.602488289936
245100301001005,27254.244050928697
245100301001006,24415.214478681526
245100301001007,22170.478999359093
245100301001008,25079.47441534931
245100301001009,25216.51397111935
245100301001010,23995.5684451111
245100301001012,21696.575373694934
245100301001013,20296.928235469335
245100301001014,21950.531459833
245100301001015,21761.868504800597
245100301001016,22697.051698839394
245100301001017,22416.76152701601
245100301001019,22943.67565869523
245100301001020,22943.67565869523
245100301001021,27300.39734358686
245100301001022,27295.942378308217
245100301001023,25388.5469732806
245100301001024,27162.451858234454
245100301001026,26327.434441835667
245100301001027,26924.393868816485
245100301001028,30812.407887597165
245100301001029,31163.86091665632
245100301001030,28210.71518485095
245100301001031,25574.378126029133
245100301001032,23190.703883377977
245100301002000,30792.913400315905
245100301002001,29907.012513797003
245100301002002,33445.01631215142
245100301002003,34725.07707783249
245100301002004,34372.38506080959
245100301002005,31859.977180925223
245100301002008,30717.862380523726
245100301002010,29087.385024230432
245100301002011,27908.55102410182
245100301002013,27945.367740222617
245100301002014,29816.56200371617
245100301002016,31572.798018233912
245100301002017,26476.777104627465
245100301002018,28142.79717338845
245100301002019,28122.80311820504
245100301002020,29888.90461728728
245100301002023,29537.13555076997
245100301002024,27462.643007287967
245100301002027,26460.07181194106
245100302001000,36464.70471968606
245100302001005,54494.85047198777
245100302001006,37045.67921258976
245100302001007,36182.30433129518
245100302001009,28091.14358982581
245100302001010,37339.485266446936
245100302001011,38701.283682698835
245100302001012,45180.89671064769
245100302001013,45815.21642839776
245100302001014,53467.583438572285
245100302001015,54215.44923251294
245100302001017,41785.928212096595
245100302001018,35262.37824397338
245100302001019,39083.973190350705
245100302001020,40298.2298247506
245100302001021,47010.54822874735
245100302001022,50926.20200731233
245100302001028,43044.04522037151
245100302001029,38759.52826019209
245100302001030,39770.30231458019
245100302001031,35156.94176341419
245100302001032,35814.881593172315
245100302001033,35203.59309017546
245100302001034,30087.355048935722
245100302001036,33155.897065834644
245100302001037,32421.73551556639
245100302002000,26471.85088884762
245100302002001,29969.235895038983
245100302002002,34971.7525611516
245100302002003,36973.40832190702
245100302002004,38562.60257244253
245100302002006,37404.28725338844
245100302002010,23965.91720554773
245100302002011,28378.993708448812
245100302002012,22577.911468658625
245100302002014,29793.211099803717
245100302002015,25425.666321101842
245100302002017,34847.87355000131
245100302002018,37744.841968528584
245100302002019,35145.219613243855
245100302002020,32928.666070352774
245100302002021,29115.905701755895
245100302002023,32922.296585471675
245100302002025,31249.914441940007
245100302002026,32157.5947992731
245100302002027,28979.027821874974
245100302002029,26203.0658716845
245100302002031,36360.84909289672
245100401001000,40941.46459292133
245100401001001,38919.88047412713
245100401001002,40207.18780844555
245100401001003,44900.31582721211
245100401001005,45814.50195909476
245100401001006,47242.60352618146
245100401001007,45292.278940359596
245100401001008,45545.616344428956
245100401001010,55120.49109365103
245100401001011,54893.9752613904
245100401001013,56604.41955596932
245100401001015,61623.13050531491
245100401002000,59251.12413312941
245100401002002,53290.60061372979
245100401002003,50944.114576662265
245100401002004,50962.62723792285
245100401002005,48003.91452390267
245100401002006,48050.735936479155
245100401003001,49108.62562843319
245100401003002,50574.89870050117
245100401003003,45077.975008545225
245100401003005,51597.616815032925
245100401003008,55677.21024993557
245100401003011,49233.85762438059
245100401003013,56746.39207465414
245100401003016,49276.73395636064
245100401003017,46911.42456364415
245100401003020,44104.90482707007
245100401003021,47314.7992436978
245100401003023,50010.27002072971
245100401003024,46836.736965004915
245100401003025,57146.59292204434
245100401003030,57794.17332797968
245100401003033,54264.86934758861
245100401003035,52931.7069049962
245100401003036,54327.451305539245
245100401003037,54823.39799516923
245100401003038,56945.8606967759
245100401003040,63060.363749985816
245100401003041,65013.60485446527
245100401003042,64627.002416573014
245100401003044,59926.822788344245
245100401003045,55507.99426111208
245100401003048,60571.75103826959
245100401003050,64420.29505038923
245100401003051,63981.88350285457
245100401003053,63392.85778830257
245100401003055,63245.76013409271
245100401003056,62065.80412661117
245100401003057,52236.82585401948
245100401003065,60332.221215419835
245100401003068,62415.91016381979
245100401003069,51350.765866952395
245100401003070,49447.41860112113
245100401003075,57392.65605965657
245100401004001,40954.528028589615
245100401004002,41623.747479061814
245100401004003,39190.20286580204
245100401004004,40673.66619443127
245100401004005,34631.49548326589
245100401004007,44319.11082024627
245100401004009,41660.25426768265
245100401004010,45822.36775980017
245100401004012,44668.90800567118
245100401004013,43503.70692865512
245100401004015,36110.14359928805
245100401004016,46537.56097352797
245100401004018,45491.24053593307
245100401004019,52052.478114295984
245100401004022,54648.5336527912
245100401004026,53746.296255990965
245100401004029,53309.75240836416
245100401004031,53134.43230850371
245100402001000,33483.508992014176
245100402001002,35288.917501337746
245100402001003,36217.09421110728
245100402001004,38760.14464430866
245100402001011,29552.961398896063
245100402001014,37942.64417783876
245100402001016,45674.165665205495
245100402001017,50908.63667495146
245100402001019,44352.6903572562
245100402001029,47227.51777082312
245100402001030,47118.6390672024
245100402001036,33904.24543069835
245100601001000,7094.579426632377
245100601001001,7360.599496830617
245100601001002,6638.865387743915
245100601001003,7466.514924574935
245100601001004,8557.442567347043
245100601001006,8037.089036468997
245100601001007,9483.463273927899
245100601002000,8549.308787739825
245100601002001,9415.023228064085
245100601002002,8463.771784324832
245100601002003,7871.693495638138
245100601002004,5954.45021809396
245100601002005,6409.5016696070315
245100601002006,7137.35082471567
245100601002007,6392.086322802328
245100601003000,9155.479476848348
245100601003001,9343.681334339806
245100601003002,8595.702100915369
245100601003003,6420.090475613489
245100601003004,7162.146149344215
245100601003005,6941.431074779056
245100601004000,7653.026111213279
245100601004001,7473.231524547471
245100601004002,7318.029300457018
245100601004003,9465.337526502324
245100601004004,8975.579951656215
245100601004005,9113.315964145648
245100602001000,10764.397045811758
245100602001001,12266.746106147239
245100602001002,12278.213266598159
245100602001003,9359.88042942631
245100602001004,9335.403244160792
245100602001005,8134.7606410563385
245100602002000,10481.310000553876
245100602002001,11450.254462052199
245100602002002,11682.191989693329
245100602002003,11125.083734823731
245100602002004,12756.767065270897
245100602002005,14121.228522241605
245100602002006,14146.910186148414
245100602002007,12457.243945062095
245100602002008,10363.930427802643
245100602002009,11157.915618655245
245100602003000,8617.577919905036
245100602003001,10007.024006524452
245100602003002,10294.627753855555
245100602003003,12429.931960713477
245100602003004,12296.206621358073
245100602003005,11107.395457876457
245100602004000,7855.503887332827
245100602004001,8159.020607476201
245100602004002,8329.150439010296
245100602004003,8405.39891808562
245100602004005,10808.682666618799
245100602004006,9551.863772569253
245100602004008,9468.45158382305
245100602004009,9844.698580623777
245100602004010,9955.483072575316
245100602004011,7710.199272012522
245100602004012,8187.492956500184
245100602004013,7104.351387304503
245100603001000,12397.718357071266
245100603001001,14100.982779559761
245100603001002,14334.057037838174
245100603001003,14819.060483975223
245100603001004,15338.795199548282
245100603001005,17263.209757342393
245100603001006,19012.611610349
245100603001007,20330.762929171902
245100603001008,18632.711262434685
245100603001009,16196.38827664002
245100603001010,17629.735372215437
245100603001011,17024.815928375552
245100603001012,15405.36941498098
245100603001013,14298.438215106497
245100603001014,12945.888849591895
245100603001015,19802.685789858486
245100603001016,22780.999428910163
245100603001017,24404.323204500248
245100603001018,22031.486490125022
245100603001019,18646.054847075
245100603002000,15023.25582807139
245100603002001,16892.050549739157
245100603002002,19034.851580794944
245100603002003,19219.281597268255
245100603002004,19426.864824381963
245100603002005,21196.366290335383
245100603002006,23476.64056221755
245100603002007,21073.71271281792
245100603002008,20213.607556013027
245100603002009,16122.314110723955
245100603002010,15171.568578204635
245100603002011,14571.728085049519
245100603002012,15145.549851708878
245100603002013,13639.073195590256
245100603002014,12153.22718188355
245100603002015,15132.174617361341
245100603002016,16450.392996495015
245100603002017,18538.067395838298
245100603002018,17096.472416265435
245100604001000,42044.95821196464
245100604001002,27599.389055119165
245100604001003,31826.1796959228
245100604001007,32678.02986108818
245100604001009,23275.745684966867
245100604001010,19747.12290765513
245100604001011,25814.25919048731
245100604001012,30657.425288464834
245100604001013,33020.37556293999
245100604001014,31096.776059782478
245100604001016,22483.99563964278
245100604002000,21972.4236021724
245100604002001,24246.638491928352
245100604002004,24324.057227741934
245100604002005,21874.92564974374
245100604002006,19766.740359370076
245100604002007,20114.871645820167
245100604002008,22118.55011764781
245100604002009,19649.775815326877
245100604002010,29526.7927728433
245100604002011,26390.671533036555
245100604002012,26526.85493476836
245100604002013,23971.428581803986
245100604002014,21716.30410892087
245100604002016,24433.14619585799
245100604002017,17525.968512367486
245100604002018,18833.013601986902
245100604002019,17682.057161924204
245100604002020,19552.294348989017
245100701001000,8047.902807413508
245100701001002,5624.652699138665
245100701001003,5537.353381351027
245100701001004,7672.399335702746
245100701001005,8197.88051383796
245100701001006,8497.538355632907
245100701001007,9532.367551398427
245100701001008,8042.999066942142
245100701001009,6430.323249578706
245100701001010,7425.745509787519
245100701001011,8007.420697447895
245100701002000,6815.086084410204
245100701002001,6481.0722425444255
245100701002002,6318.794052285738
245100701002003,6342.345757035335
245100701002004,7376.97872980486
245100701002005,7674.7952369322065
245100701002006,6410.368285869234
245100701002007,7203.543063167366
245100701002008,6899.873848841289
245100701002009,7149.253720564626
245100701002010,7317.66697973413
245100701002011,6916.674496443523
245100701002012,6191.1167670466
245100701002013,6073.701679405718
245100701002014,6267.89398194826
245100701002015,6302.831589947874
245100702001000,9050.604064272127
245100702001001,10043.573913353204
245100702001002,9218.42533876812
245100702001003,8927.590703476624
